epseason,epnum,epname,rating,dynamics,chandler_joey,chandler_monica,chandler_phoebe,chandler_rachel,chandler_ross,joey_monica,joey_phoebe,joey_rachel,joey_ross,monica_phoebe,monica_rachel,monica_ross,phoebe_rachel,phoebe_ross,rachel_ross
1,1,The One Where Monica Gets a Roommate,8.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,The One Where Monica Gets a Roommate,8.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,The One Where Monica Gets a Roommate,8.4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,The One Where Monica Gets a Roommate,8.4,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,The One with the Sonogram at the End,8.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,The One with the Sonogram at the End,8.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,The One with the Sonogram at the End,8.1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,The One with the Thumb,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,The One with the Thumb,8.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,The One with the Thumb,8.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,The One with George Stephanopoulos,8.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,The One with George Stephanopoulos,8.2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,The One with George Stephanopoulos,8.2,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,The One with the East German Laundry Detergent,8.5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5,The One with the East German Laundry Detergent,8.5,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,The One with the East German Laundry Detergent,8.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,The One with the Butt,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,The One with the Butt,8.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,The One with the Butt,8.2,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7,The One with the Blackout,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,The One with the Blackout,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
